,column1,column2,estimate,n,p.value
1,Trig_S,BW,0.266763337120798,48,0.0668258372244954
2,Chol_S,BW,0.259425316107778,48,0.0749782219075421
3,Chol_S,Trig_S,0.292799387599657,48,0.0434247512381871
4,Insulin_S,BW,0.44632996050023,48,0.00147402017802234
5,Insulin_S,Trig_S,0.441448875676993,48,0.00168439176139801
6,Insulin_S,Chol_S,0.0417817368286329,48,0.777970290330785
7,Glucose_S,BW,0.395056177162528,48,0.00545418928480146
8,Glucose_S,Trig_S,-0.116546570570428,48,0.430189303207202
9,Glucose_S,Chol_S,0.0618954254782037,48,0.676004496262304
10,Glucose_S,Insulin_S,0.258308803788144,48,0.0762846822215715
11,Ins_Glu_ratio,BW,0.174826013066244,48,0.234643640020616
12,Ins_Glu_ratio,Trig_S,0.540210897702835,48,7.39697123319782e-05
13,Ins_Glu_ratio,Chol_S,0.0555568479669779,48,0.707621098245765
14,Ins_Glu_ratio,Insulin_S,0.805518840131984,48,5.05107067283461e-12
15,Ins_Glu_ratio,Glucose_S,-0.293961624733377,48,0.0425611376854469
16,TG_liver,BW,0.195333365445123,48,0.183355461639733
17,TG_liver,Trig_S,-0.21005698859594,48,0.151857932424444
18,TG_liver,Chol_S,-0.227364206355307,48,0.120152089193544
19,TG_liver,Insulin_S,0.0810826497553883,48,0.583793038396342
20,TG_liver,Glucose_S,0.317812588405271,48,0.027718407207753
21,TG_liver,Ins_Glu_ratio,-0.15228384107598,48,0.301470875287851
22,Chol_liver,BW,0.0835135426283397,48,0.572526541411787
23,Chol_liver,Trig_S,-0.187895481847345,48,0.200935931419309
24,Chol_liver,Chol_S,-0.240166737986607,48,0.100129189367662
25,Chol_liver,Insulin_S,0.0848562736399626,48,0.566346487627164
26,Chol_liver,Glucose_S,0.285198276511436,48,0.0494320644434496
27,Chol_liver,Ins_Glu_ratio,-0.137480679427969,48,0.351428745816113
28,Chol_liver,TG_liver,0.676017314616877,48,1.344223719002e-07
29,FGF21_S,BW,-0.0376981526968729,47,0.801369147246592
30,FGF21_S,Trig_S,0.433212679423112,47,0.00235261184222235
31,FGF21_S,Chol_S,0.324576387471552,47,0.0260201335780961
32,FGF21_S,Insulin_S,0.287681328766186,47,0.0499015976123047
33,FGF21_S,Glucose_S,-0.254698139532758,47,0.0840375896359857
34,FGF21_S,Ins_Glu_ratio,0.459406448431203,47,0.00116057705109629
35,FGF21_S,TG_liver,-0.327302184739524,47,0.0247231351574828
36,FGF21_S,Chol_liver,-0.239239784305102,47,0.105318945905685
37,UricAcid_S,BW,0.226609678877893,48,0.12142039359714
38,UricAcid_S,Trig_S,0.462709717267892,48,0.000928381997495897
39,UricAcid_S,Chol_S,0.193710873584574,48,0.187093078145722
40,UricAcid_S,Insulin_S,0.119998572306308,48,0.41656135400764
41,UricAcid_S,Glucose_S,-0.111007987711185,48,0.452568967371968
42,UricAcid_S,Ins_Glu_ratio,0.144025281516671,48,0.328748430993101
43,UricAcid_S,TG_liver,-0.150258494018975,48,0.30802150604894
44,UricAcid_S,Chol_liver,-0.139240930645077,48,0.345236453697299
45,UricAcid_S,FGF21_S,-0.00877105382765784,47,0.953339848061298
